X,Y,ORIENTATION,LS 0-179,LC 180-359,LD 360-539
0.000000000000000000e+00,0.000000000000000000e+00,7.620073777693643635e-02,6.181111120515399016e-01,1.901944439609845494e+00,4.577900537469768771e+00
-3.102155293022323956e-02,-2.354050653311942631e-03,7.619713301201469502e-02,6.167777791619301064e-01,1.912444442427820634e+00,4.451546961431345650e+00
-5.168398397333295868e-02,-4.021535399628142771e-03,7.461514588072745702e-02,6.364444446232583319e-01,1.802277784711784792e+00,4.463756906393482993e+00
-7.474990487347266122e-02,-5.951734410552536603e-03,7.442919368829620241e-02,6.605555569132168792e-01,2.284944434629546439e+00,4.542375687077559121e+00
-9.848144695705252083e-02,-7.331105676959520645e-03,7.607025588989535514e-02,7.685555564032660048e-01,2.156611108779907138e+00,4.520276213219152517e+00
-1.438187672301899367e-01,-1.001614243094771373e-02,7.401300577376726531e-02,8.239999988012843835e-01,2.140444443292087939e+00,4.450331466632653665e+00
-1.646434178779231372e-01,-1.170500754214671979e-02,7.373924279009923255e-02,8.442777771088811889e-01,2.398055547475814731e+00,4.573370147146572862e+00
-2.067145586573440053e-01,-1.523531138767879323e-02,7.475977611648453036e-02,8.672222238447930831e-01,2.705666663083765133e+00,4.581215443532110854e+00
-2.293417039944629643e-01,-1.713048942271992725e-02,7.415522242325268965e-02,8.918888900015089494e-01,2.361444451742702011e+00,4.386022093546324996e+00
-2.525052970517052131e-01,-1.962404145120349996e-02,7.407667083729774227e-02,9.362777748041682946e-01,2.501055555045604617e+00,4.410718222349387929e+00
-2.750500533783062362e-01,-2.156826121322752421e-02,7.433853671502062277e-02,9.592777752214007858e-01,2.964722208844290829e+00,4.598674024666212112e+00
-2.973287790730856361e-01,-2.305097785118516429e-02,7.472196026791881607e-02,9.823333323001861572e-01,2.853888868954446600e+00,4.343425414838843146e+00
-3.399548039040292124e-01,-2.550263018943287052e-02,7.374305448292568788e-02,1.022388887074258568e+00,3.489444408482975213e+00,4.168121539426771882e+00
-3.623401880777843420e-01,-2.712297480415166995e-02,7.293267340665687826e-02,1.043555556403266138e+00,2.960999990502993118e+00,4.313259638475449798e+00
-3.869238325484463115e-01,-3.476907203469371821e-02,7.489393642743383261e-02,1.061888885166909935e+00,3.136388881338967316e+00,4.362154655035029194e+00
-4.314631585384820500e-01,-3.806215372770237193e-02,7.434963854751196199e-02,1.082777777976460021e+00,3.026333323121070951e+00,4.056298316512977564e+00
-4.528643161183378840e-01,-3.964961514221747307e-02,7.406720781778766693e-02,1.117888891365792947e+00,3.243222202195061410e+00,4.097348044590396476e+00
-4.746569294642348780e-01,-4.151520735734635925e-02,7.431894533708600925e-02,1.136777779459953397e+00,3.623111090064048856e+00,4.015801088586037793e+00
-4.966567290017940284e-01,-4.310543308233902304e-02,7.471884460335539990e-02,1.153944444325235130e+00,3.358555546071794407e+00,3.855801097595889182e+00
-5.415087269831559968e-01,-4.628852406919596596e-02,7.463578024941695810e-02,1.167222223348087784e+00,3.429555543926027017e+00,3.798729266909604441e+00
-5.633934973009455671e-01,-4.792881089238798520e-02,7.533155936838135946e-02,1.198500001099374490e+00,3.562277771366967105e+00,3.770055243982135984e+00
-5.850420768519224435e-01,-4.972565964314555609e-02,7.428859695975841004e-02,1.208111109998491139e+00,3.620944430099593436e+00,3.588839763435869745e+00
-6.129647010862679934e-01,-4.940342572995065629e-02,7.705763485160427306e-02,1.230111111203829433e+00,4.071833311518033405e+00,3.561657461013583159e+00
-6.348296059448679252e-01,-5.087281212946642706e-02,7.723526503229138918e-02,1.248166665765974237e+00,3.823111094699965573e+00,3.632596653469359893e+00
-6.784016057331201388e-01,-5.354034127848127100e-02,7.690980315992336502e-02,1.280166664388444620e+00,3.950277754664420993e+00,3.551215441187442146e+00
-7.002012360842475580e-01,-5.539676835013011835e-02,7.658484615947525054e-02,1.296555553542243056e+00,3.901111092832353577e+00,3.260939219379952014e+00
-7.289122220147687958e-01,-5.826995227417811063e-02,7.770392079772714400e-02,1.311722218659189032e+00,4.183722188406520104e+00,3.235524863827953013e+00
-7.265910148166749849e-01,-5.823646974009480393e-02,7.752423487776115285e-02,1.329944444033834605e+00,4.120388881034321216e+00,3.443646408576332973e+00
-7.180396934611785742e-01,-5.711507366581612677e-02,7.892935244606251455e-02,1.320333333810170595e+00,4.064333311716715080e+00,3.235966847087796694e+00
-7.113898784939718389e-01,-5.636730668562707491e-02,7.856196219081128251e-02,1.312722216380967089e+00,3.786499972475899423e+00,3.246243087626293988e+00
-7.108613477198970632e-01,-5.598799335668278032e-02,7.807816725302463290e-02,1.310111105110910223e+00,3.786888862649599563e+00,3.247071824021102504e+00
-7.174593824487316418e-01,-5.674106421268980405e-02,7.900738674131989325e-02,1.315833332803514333e+00,4.030499988132053346e+00,3.236740331623435551e+00
-7.184324767934306966e-01,-5.702048681944828223e-02,7.898548192094324849e-02,1.316555551356739517e+00,4.064055528905656800e+00,3.234143646382495074e+00
-7.161056999578918614e-01,-5.696579481028643532e-02,7.930810972630135403e-02,1.314333330260382793e+00,4.064222208658853752e+00,3.237016573795297614e+00
-7.154795554382646916e-01,-5.709627506010507558e-02,7.929838794130891766e-02,1.316166664494408556e+00,4.069222202234797692e+00,3.239944745163891415e+00
-7.155187534910287805e-01,-5.798508966007050180e-02,7.941839477575109163e-02,1.315777774651845311e+00,4.213722198870446967e+00,3.239999989119682677e+00
-7.159621266922533422e-01,-6.239429685061867459e-02,7.855014707133006757e-02,1.318222221401002647e+00,4.158055530654059417e+00,3.236353589026308875e+00
-7.157673762930854000e-01,-7.288528592632288750e-02,7.835642887227237119e-02,1.324944443835152530e+00,4.296833299265967909e+00,3.232375690950214597e+00
-7.129065793134616857e-01,-1.066082916823537646e-01,7.915131765280424003e-02,1.327944447596867805e+00,4.169444416960080169e+00,3.227624311631555720e+00
-7.109971406251751613e-01,-1.211831895392706110e-01,7.744486870730225847e-02,1.335388888253105977e+00,4.145666656560368146e+00,3.214419883259093780e+00
-7.098753555083172628e-01,-1.335046274466783478e-01,7.540104103425726567e-02,1.341222221983803697e+00,4.094111098514662928e+00,3.304254141960354829e+00
-7.088494735590182838e-01,-1.548472660785679689e-01,7.665491905297153186e-02,1.347444444563653754e+00,4.129611111680666191e+00,3.303259671063712766e+00
-7.077156820178174268e-01,-1.669989528988880534e-01,7.586642838035265179e-02,1.356111109256744385e+00,4.150777766770787025e+00,3.197845313430490943e+00
-7.063867349514352245e-01,-1.807653734554652281e-01,7.282704469680008341e-02,1.358222219347953841e+00,4.298333310418659181e+00,3.410662981028056429e+00
-7.050365287441120454e-01,-1.943191273125906005e-01,6.751035805347611884e-02,1.361388890941937824e+00,4.242666647169325067e+00,3.115303872698578225e+00
-7.043027158053889458e-01,-2.182590827087932950e-01,5.733852818505338900e-02,1.367277773221333925e+00,4.441555541422632203e+00,3.408674013548793180e+00
-7.037188484901000241e-01,-2.295534248359193952e-01,5.473474465401510780e-02,1.379277776678403233e+00,4.419499984714719609e+00,3.324419883733296111e+00
-7.026585468460215811e-01,-2.410351438439139460e-01,4.882118888639315479e-02,1.381611110104454809e+00,4.441333321730295935e+00,3.037900558492755199e+00
-7.016695082352868429e-01,-2.527060364017832961e-01,3.914773855237240613e-02,1.381777774956491234e+00,4.570277773009406630e+00,3.167513807834182682e+00
