Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,temperature,variance
1648214423.384497,17679,1648214423,384330318,fufi_imu_link,23.548776626586914,0.0
1648214423.3847744,17680,1648214423,384673859,fufi_imu_link,23.54878807067871,0.0
1648214423.4503133,17681,1648214423,450161072,fufi_imu_link,23.548742294311523,0.0
1648214423.459875,17682,1648214423,459527022,fufi_imu_link,23.54901123046875,0.0
1648214423.5060155,17683,1648214423,505776865,fufi_imu_link,23.54894256591797,0.0
1648214423.5253503,17684,1648214423,525137229,fufi_imu_link,23.548612594604492,0.0
1648214423.543518,17685,1648214423,543144165,fufi_imu_link,23.54850196838379,0.0
1648214423.581031,17686,1648214423,580589158,fufi_imu_link,23.54787254333496,0.0
1648214423.5891373,17687,1648214423,588717993,fufi_imu_link,23.547998428344727,0.0
1648214423.6182745,17688,1648214423,617818012,fufi_imu_link,23.548629760742188,0.0
1648214423.6446834,17689,1648214423,644500882,fufi_imu_link,23.548805236816406,0.0
1648214423.6552236,17690,1648214423,655053155,fufi_imu_link,23.548213958740234,0.0
1648214423.663333,17691,1648214423,663152959,fufi_imu_link,23.547985076904297,0.0
1648214423.6930983,17692,1648214423,692568026,fufi_imu_link,23.547306060791016,0.0
1648214423.7300317,17693,1648214423,729569576,fufi_imu_link,23.546974182128906,0.0
1648214423.7387283,17694,1648214423,738276615,fufi_imu_link,23.547189712524414,0.0
1648214423.7769923,17695,1648214423,776614588,fufi_imu_link,23.5473575592041,0.0
1648214423.8050005,17696,1648214423,804479936,fufi_imu_link,23.547557830810547,0.0
1648214423.8137372,17697,1648214423,813331530,fufi_imu_link,23.547931671142578,0.0
1648214423.8600657,17698,1648214423,859687900,fufi_imu_link,23.547073364257812,0.0
1648214423.860597,17699,1648214423,860314110,fufi_imu_link,23.547082901000977,0.0
1648214423.8795788,17700,1648214423,879213370,fufi_imu_link,23.547374725341797,0.0
1648214423.8883636,17701,1648214423,887919564,fufi_imu_link,23.54720115661621,0.0
1648214423.9349778,17702,1648214423,934574918,fufi_imu_link,23.54655647277832,0.0
1648214423.9358072,17703,1648214423,935484126,fufi_imu_link,23.546588897705078,0.0
1648214424.0009863,17704,1648214424,598207,fufi_imu_link,23.54764175415039,0.0
1648214424.010603,17705,1648214424,10178074,fufi_imu_link,23.547996520996094,0.0
1648214424.0757492,17706,1648214424,75357936,fufi_imu_link,23.54857635498047,0.0
1648214424.0934439,17707,1648214424,93036080,fufi_imu_link,23.548770904541016,0.0
1648214424.131413,17708,1648214424,131026463,fufi_imu_link,23.548824310302734,0.0
1648214424.1399667,17709,1648214424,139467473,fufi_imu_link,23.548900604248047,0.0
1648214424.1507568,17710,1648214424,150286838,fufi_imu_link,23.54937171936035,0.0
1648214424.1689153,17711,1648214424,167859112,fufi_imu_link,23.54909896850586,0.0
1648214424.2055357,17712,1648214424,205263013,fufi_imu_link,23.5498104095459,0.0
1648214424.2133076,17713,1648214424,213156275,fufi_imu_link,23.549610137939453,0.0
1648214424.2427886,17714,1648214424,242560895,fufi_imu_link,23.550418853759766,0.0
1648214424.2798014,17715,1648214424,279623595,fufi_imu_link,23.550037384033203,0.0
1648214424.2881513,17716,1648214424,287983941,fufi_imu_link,23.54962921142578,0.0
1648214424.326801,17717,1648214424,326452806,fufi_imu_link,23.550966262817383,0.0
1648214424.3551428,17718,1648214424,354479071,fufi_imu_link,23.55046272277832,0.0
1648214424.3634427,17719,1648214424,363029824,fufi_imu_link,23.550983428955078,0.0
1648214424.4100325,17720,1648214424,409669757,fufi_imu_link,23.550968170166016,0.0
1648214424.4110124,17721,1648214424,410638120,fufi_imu_link,23.551109313964844,0.0
1648214424.4301395,17722,1648214424,429289333,fufi_imu_link,23.551504135131836,0.0
1648214424.4382875,17723,1648214424,437865607,fufi_imu_link,23.551746368408203,0.0
1648214424.4849265,17724,1648214424,484536341,fufi_imu_link,23.552364349365234,0.0
1648214424.485863,17725,1648214424,485396420,fufi_imu_link,23.5523624420166,0.0
1648214424.5133371,17726,1648214424,512926796,fufi_imu_link,23.552101135253906,0.0
1648214424.5509427,17727,1648214424,550570482,fufi_imu_link,23.552444458007812,0.0
1648214424.560447,17728,1648214424,560109164,fufi_imu_link,23.55225944519043,0.0
1648214424.6258307,17729,1648214424,625368738,fufi_imu_link,23.55250358581543,0.0
1648214424.6435542,17730,1648214424,643149940,fufi_imu_link,23.552005767822266,0.0
1648214424.6810472,17731,1648214424,680609784,fufi_imu_link,23.552846908569336,0.0
1648214424.6897848,17732,1648214424,689400725,fufi_imu_link,23.552745819091797,0.0
1648214424.7005713,17733,1648214424,700143514,fufi_imu_link,23.552820205688477,0.0
1648214424.7184525,17734,1648214424,717888663,fufi_imu_link,23.553180694580078,0.0
1648214424.7564478,17735,1648214424,755837868,fufi_imu_link,23.554351806640625,0.0
1648214424.7639914,17736,1648214424,763548205,fufi_imu_link,23.554317474365234,0.0
1648214424.7934375,17737,1648214424,793048304,fufi_imu_link,23.55524444580078,0.0
1648214424.819706,17738,1648214424,819547286,fufi_imu_link,23.55633544921875,0.0
1648214424.838251,17739,1648214424,837960402,fufi_imu_link,23.55704689025879,0.0
1648214424.876181,17740,1648214424,876012509,fufi_imu_link,23.55661964416504,0.0
1648214424.9047775,17741,1648214424,904540956,fufi_imu_link,23.556127548217773,0.0
1648214424.912948,17742,1648214424,912772843,fufi_imu_link,23.55579376220703,0.0
1648214424.9601116,17743,1648214424,959696406,fufi_imu_link,23.555255889892578,0.0
1648214424.9796975,17744,1648214424,979276736,fufi_imu_link,23.555978775024414,0.0
1648214424.9882882,17745,1648214424,987895382,fufi_imu_link,23.555965423583984,0.0
1648214425.0351522,17746,1648214425,34633411,fufi_imu_link,23.556529998779297,0.0
1648214425.0358498,17747,1648214425,35498190,fufi_imu_link,23.556196212768555,0.0
1648214425.0631473,17748,1648214425,62642949,fufi_imu_link,23.556123733520508,0.0
1648214425.1011007,17749,1648214425,100631670,fufi_imu_link,23.555370330810547,0.0
1648214425.1107297,17750,1648214425,110291449,fufi_imu_link,23.555522918701172,0.0
1648214425.1760237,17751,1648214425,175566337,fufi_imu_link,23.554365158081055,0.0
1648214425.1935856,17752,1648214425,193180547,fufi_imu_link,23.554662704467773,0.0
1648214425.2311835,17753,1648214425,230785227,fufi_imu_link,23.5555477142334,0.0
1648214425.2398899,17754,1648214425,239471259,fufi_imu_link,23.555686950683594,0.0
1648214425.2507854,17755,1648214425,250373832,fufi_imu_link,23.555492401123047,0.0
1648214425.2684038,17756,1648214425,267926536,fufi_imu_link,23.556501388549805,0.0
1648214425.3060558,17757,1648214425,305594557,fufi_imu_link,23.557666778564453,0.0
1648214425.313879,17758,1648214425,313534124,fufi_imu_link,23.557857513427734,0.0
1648214425.3431408,17759,1648214425,342701485,fufi_imu_link,23.559200286865234,0.0
1648214425.3714995,17760,1648214425,370948078,fufi_imu_link,23.5606689453125,0.0
1648214425.3887875,17761,1648214425,388316716,fufi_imu_link,23.560344696044922,0.0
1648214425.4547474,17762,1648214425,454524295,fufi_imu_link,23.56097412109375,0.0
1648214425.4629662,17763,1648214425,462793802,fufi_imu_link,23.560787200927734,0.0
1648214425.5098705,17764,1648214425,509647150,fufi_imu_link,23.560680389404297,0.0
1648214425.5298662,17765,1648214425,529299117,fufi_imu_link,23.561141967773438,0.0
1648214425.5379987,17766,1648214425,537711724,fufi_imu_link,23.561687469482422,0.0
1648214425.5855725,17767,1648214425,584621981,fufi_imu_link,23.56199836730957,0.0
1648214425.5861678,17768,1648214425,585547629,fufi_imu_link,23.561662673950195,0.0
1648214425.6140735,17769,1648214425,612819245,fufi_imu_link,23.56198501586914,0.0
1648214425.6410584,17770,1648214425,640575030,fufi_imu_link,23.562198638916016,0.0
1648214425.6609807,17771,1648214425,659465322,fufi_imu_link,23.561824798583984,0.0
1648214425.661033,17772,1648214425,660339797,fufi_imu_link,23.561851501464844,0.0
1648214425.7262223,17773,1648214425,725603997,fufi_imu_link,23.56238555908203,0.0
1648214425.7354045,17774,1648214425,735042704,fufi_imu_link,23.562231063842773,0.0
1648214425.781316,17775,1648214425,780896018,fufi_imu_link,23.56240463256836,0.0
1648214425.8007178,17776,1648214425,800307574,fufi_imu_link,23.56245994567871,0.0
1648214425.8184385,17777,1648214425,818012447,fufi_imu_link,23.562358856201172,0.0
1648214425.863966,17778,1648214425,863589856,fufi_imu_link,23.562952041625977,0.0
1648214425.8934767,17779,1648214425,892828318,fufi_imu_link,23.56415367126465,0.0
1648214425.9203458,17780,1648214425,919968859,fufi_imu_link,23.56460189819336,0.0
1648214425.9388754,17781,1648214425,938418481,fufi_imu_link,23.56438636779785,0.0
1648214426.005007,17782,1648214426,4608702,fufi_imu_link,23.563804626464844,0.0
1648214426.013431,17783,1648214426,12945400,fufi_imu_link,23.563926696777344,0.0
1648214426.0512602,17784,1648214426,50949761,fufi_imu_link,23.56363296508789,0.0
1648214426.0795221,17785,1648214426,79301384,fufi_imu_link,23.562969207763672,0.0
1648214426.0878434,17786,1648214426,87625629,fufi_imu_link,23.563066482543945,0.0
1648214426.1064286,17787,1648214426,106204555,fufi_imu_link,23.563282012939453,0.0
1648214426.1349015,17788,1648214426,134598609,fufi_imu_link,23.564979553222656,0.0
1648214426.1355338,17789,1648214426,135257822,fufi_imu_link,23.56523895263672,0.0
1648214426.154689,17790,1648214426,154198776,fufi_imu_link,23.565547943115234,0.0
1648214426.1631339,17791,1648214426,162769383,fufi_imu_link,23.56633949279785,0.0
1648214426.2102757,17792,1648214426,209408515,fufi_imu_link,23.566110610961914,0.0
1648214426.2107995,17793,1648214426,210440230,fufi_imu_link,23.566743850708008,0.0
1648214426.2761624,17794,1648214426,275554899,fufi_imu_link,23.567333221435547,0.0
1648214426.2856207,17795,1648214426,285122895,fufi_imu_link,23.567707061767578,0.0
1648214426.3312726,17796,1648214426,330833389,fufi_imu_link,23.56924819946289,0.0
1648214426.350767,17797,1648214426,350322860,fufi_imu_link,23.57036590576172,0.0
1648214426.3689675,17798,1648214426,367979770,fufi_imu_link,23.570587158203125,0.0
1648214426.4062223,17799,1648214426,405708393,fufi_imu_link,23.570056915283203,0.0
1648214426.413998,17800,1648214426,413602014,fufi_imu_link,23.56987190246582,0.0
1648214426.4430964,17801,1648214426,442745467,fufi_imu_link,23.569181442260742,0.0
1648214426.47096,17802,1648214426,470568898,fufi_imu_link,23.569618225097656,0.0
1648214426.4901946,17803,1648214426,488474249,fufi_imu_link,23.569730758666992,0.0
1648214426.517788,17804,1648214426,517544851,fufi_imu_link,23.56970977783203,0.0
1648214426.52659,17805,1648214426,526353623,fufi_imu_link,23.569427490234375,0.0
1648214426.5548546,17806,1648214426,554642327,fufi_imu_link,23.568891525268555,0.0
1648214426.5632555,17807,1648214426,562957586,fufi_imu_link,23.568391799926758,0.0
1648214426.601078,17808,1648214426,600920537,fufi_imu_link,23.5667724609375,0.0
1648214426.6295378,17809,1648214426,629312426,fufi_imu_link,23.566625595092773,0.0
1648214426.6378798,17810,1648214426,637704170,fufi_imu_link,23.56732940673828,0.0
1648214426.6851547,17811,1648214426,684692961,fufi_imu_link,23.568269729614258,0.0
1648214426.68524,17812,1648214426,685058901,fufi_imu_link,23.568256378173828,0.0
1648214426.704729,17813,1648214426,704310161,fufi_imu_link,23.56870460510254,0.0
1648214426.7137332,17814,1648214426,713375559,fufi_imu_link,23.56906509399414,0.0
1648214426.75978,17815,1648214426,759435865,fufi_imu_link,23.569978713989258,0.0
1648214426.7607458,17816,1648214426,760346593,fufi_imu_link,23.57024574279785,0.0
1648214426.825606,17817,1648214426,825381934,fufi_imu_link,23.57209587097168,0.0
1648214426.8349328,17818,1648214426,834662854,fufi_imu_link,23.572113037109375,0.0
1648214426.8706973,17819,1648214426,870425107,fufi_imu_link,23.5726375579834,0.0
1648214426.9004097,17820,1648214426,900099697,fufi_imu_link,23.572059631347656,0.0
1648214426.9183183,17821,1648214426,917967398,fufi_imu_link,23.571956634521484,0.0
1648214426.9557173,17822,1648214426,955396326,fufi_imu_link,23.572362899780273,0.0
1648214426.9645064,17823,1648214426,964223658,fufi_imu_link,23.571744918823242,0.0
1648214426.975262,17824,1648214426,974935765,fufi_imu_link,23.571186065673828,0.0
1648214426.9930246,17825,1648214426,992717389,fufi_imu_link,23.571460723876953,0.0
1648214427.0304878,17826,1648214427,30209884,fufi_imu_link,23.57067108154297,0.0
1648214427.0386329,17827,1648214427,38333923,fufi_imu_link,23.570940017700195,0.0
1648214427.0677917,17828,1648214427,67524987,fufi_imu_link,23.571130752563477,0.0
1648214427.105053,17829,1648214427,104737387,fufi_imu_link,23.570112228393555,0.0
1648214427.1132073,17830,1648214427,112975774,fufi_imu_link,23.569931030273438,0.0
1648214427.151824,17831,1648214427,151359549,fufi_imu_link,23.57030487060547,0.0
1648214427.17992,17832,1648214427,179495370,fufi_imu_link,23.569950103759766,0.0
1648214427.24407,17833,1648214427,243874824,fufi_imu_link,23.57028579711914,0.0
1648214427.2626598,17834,1648214427,262434274,fufi_imu_link,23.570140838623047,0.0
1648214427.3096824,17835,1648214427,309380119,fufi_imu_link,23.57070541381836,0.0
1648214427.3104193,17836,1648214427,310175560,fufi_imu_link,23.57061004638672,0.0
1648214427.3760645,17837,1648214427,375621582,fufi_imu_link,23.571617126464844,0.0
1648214427.3855865,17838,1648214427,385168231,fufi_imu_link,23.571388244628906,0.0
1648214427.4507928,17839,1648214427,450388111,fufi_imu_link,23.570045471191406,0.0
1648214427.4685364,17840,1648214427,468058758,fufi_imu_link,23.570037841796875,0.0
1648214427.5063019,17841,1648214427,505826819,fufi_imu_link,23.571142196655273,0.0
1648214427.5148406,17842,1648214427,514487632,fufi_imu_link,23.57076644897461,0.0
1648214427.5257711,17843,1648214427,525338264,fufi_imu_link,23.570777893066406,0.0
