Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1648214423.5061445,17682,1648214423,505776865,fufi_imu_link,-0.0038103544691918253,-0.010331241710712317,0.022254243394733305,0.9996917001228238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066751474514603615,0.004306768998503685,0.007545197382569313,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.07686036825180054,0.1210361123085022,9.784984588623047,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214423.5255353,17683,1648214423,525137229,fufi_imu_link,-0.0038222669187737953,-0.010127440034134304,0.022332467952758842,0.9996919956211991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001924821874126792,0.009423770010471344,0.00802386924624443,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.23801231384277344,-0.1746121048927307,9.633408546447754,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214423.543688,17684,1648214423,543144165,fufi_imu_link,-0.003883548517351466,-0.009947717902247315,0.022353568741742866,0.9996930923658316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004004971589893103,-3.041885793209076e-05,0.002274921163916588,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.5096151232719421,-0.16083140671253204,9.708553314208984,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214423.5813675,17685,1648214423,580589158,fufi_imu_link,-0.003830280224776435,-0.00965659621963302,0.02216231919760064,0.9997004104783765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00396308908239007,0.005993140395730734,-0.010283086448907852,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.502434492111206,-0.1412057876586914,9.67078971862793,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214423.5896802,17686,1648214423,588717993,fufi_imu_link,-0.0038150445979726207,-0.009458482427187716,0.022124745394798542,0.9997031950464625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002900508465245366,0.004322954453527927,-0.009429553523659706,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.5110888481140137,-0.04881293699145317,9.626740455627441,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214423.6184316,17687,1648214423,617818012,fufi_imu_link,-0.003893658790186191,-0.009268681109501253,0.022108478177107357,0.9997050295784294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0058724950067698956,0.0012856298126280308,-0.0011021941900253296,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.48497381806373596,-0.037005648016929626,9.604366302490234,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214423.644826,17688,1648214423,644500882,fufi_imu_link,-0.0038160129241806584,-0.009165514485041286,0.022176697873316224,0.9997047691498838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005456989631056786,-0.003302459605038166,0.005010692402720451,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.3816779851913452,-0.047679562121629715,9.62199878692627,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214423.655346,17689,1648214423,655053155,fufi_imu_link,-0.0038326464718961488,-0.0090009127856033,0.022203965770118662,0.9997055958101501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036059743724763393,0.0017286892980337143,0.005094991996884346,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.4271281063556671,-0.053683992475271225,9.667007446289062,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214423.663493,17690,1648214423,663152959,fufi_imu_link,-0.00382212543068098,-0.008872937595477418,0.022234220630765637,0.999706107697938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018248476553708315,-0.00044197216629981995,0.00739792175590992,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.329435795545578,0.0032481150701642036,9.705917358398438,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214423.6932075,17691,1648214423,692568026,fufi_imu_link,-0.0038303728804870716,-0.008906244504141982,0.022385896773469156,0.9997023950546866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009610858978703618,-0.006728705018758774,0.010283781215548515,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,-0.07975723594427109,-0.052429016679525375,9.57632827758789,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214423.7302923,17692,1648214423,729569576,fufi_imu_link,-0.003789406648200501,-0.008994078495305756,0.022382628445470846,0.9997018379962832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001978078158572316,-0.006817308720201254,-0.0002277921885251999,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.02871675044298172,-0.06912094354629517,9.816843032836914,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214423.7391818,17693,1648214423,738276615,fufi_imu_link,-0.0037719205820390188,-0.008969961693784426,0.022367317838362877,0.999702463483537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01236734353005886,-0.0020409533753991127,-0.0037408359348773956,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.045358262956142426,-0.21200650930404663,9.523726463317871,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
