Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1648214423.285576,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2855785,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.285605,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2856083,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2856233,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.285646,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2856565,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2856646,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2857184,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2857323,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.285766,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2857728,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.285803,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.285815,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.285822,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2858253,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2858713,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2858882,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2858922,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2859092,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2859237,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2859342,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2859538,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2859688,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2859905,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2860055,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2860174,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2860322,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.286105,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2861075,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2861369,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.286164,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2862124,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.286235,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2862813,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2863426,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2863479,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.286419,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2864537,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2865257,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2867064,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2867403,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2868578,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2868896,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.286968,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.287033,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.287077,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.28717,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.287183,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2872114,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2876036,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2876112,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.287614,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2876377,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2876601,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2876642,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2876782,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.28769,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2876964,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.287783,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2878041,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2879512,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2879763,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2880402,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2880785,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.288157,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2899384,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.2899826,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.3095038,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.3294418,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.349326,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.3493533,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214423.3694336,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
