hellingers_nominal_0_offline
5.333095885580025897e-01
3.897697586211772425e-01
2.415562060530223043e-01
8.034802020493092556e-02
8.516258796931186481e-05
8.516258796931186481e-05
8.516258796931186481e-05
8.516258796931186481e-05
8.516258796931186481e-05
4.922656500961719583e-02
1.703420047219674771e-01
2.196450350850092104e-01
3.187948378692492257e-01
4.183507530372151395e-01
9.813146691093530549e-01
9.487494375032178295e-01
9.092565076603503771e-01
8.446497546473219487e-01
7.701525157195643345e-01
6.666075230851493671e-01
5.822440431801993999e-01
4.757994735479829096e-01
3.744815768526567057e-01
2.335400965080557389e-01
1.233526419251415041e-01
1.548570656832556347e-01
2.627662182853952588e-01
4.624676332761121778e-01
5.898211337122021281e-01
6.914478805065835676e-01
7.888312224295190855e-01
7.888312224295190855e-01
8.581345374715787511e-01
8.998151600128319050e-01
9.200929189803719321e-01
9.479622477766870281e-01
9.635449586214386297e-01
1.154043320419182450e-01
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
0.000000000000000000e+00
7.319103064662602076e-02
9.939625748477999290e-01
9.883121110041173107e-01
9.807588661695330057e-01
9.713264603297263600e-01
9.544902778374109165e-01
9.448428636701243777e-01
9.261420452817972215e-01
8.878152265880721039e-01
8.460096310700445654e-01
7.729491454717805077e-01
6.759343868786665821e-01
5.350994406829197025e-01
4.256173245929144588e-01
2.765127858186614551e-01
1.762640157133872343e-01
1.397403874416535130e-01
1.621690424212479664e-01
1.499853317402647379e-01
2.006071046795678825e-01
2.654989870955445364e-01
3.981497060931971088e-01
4.797218720475084908e-01
5.801824264345900595e-01
6.838899997894296590e-01
7.388075346267455323e-01
7.727952787705015814e-01
8.103080458814444498e-01
8.546247286317083525e-01
8.959534353448035393e-01
8.927681427946994042e-01
9.097183392664119905e-01
9.193490288665688848e-01
9.318591639672881843e-01
9.374254695012664840e-01
9.396688085308702032e-01
9.450817331985290615e-01
9.666491898629004931e-01
9.412316784601917341e-01
9.111346481200351954e-01
8.790674959084685547e-01
8.334231751335952065e-01
8.003384787161939018e-01
7.466755378882733440e-01
6.855868605717712061e-01
5.898180768704954779e-01
4.522069876028107505e-01
3.235550918149370236e-01
2.441309486597499356e-01
1.725000495776181086e-01
1.437652731112483151e-01
1.480932777326505745e-01
2.894367702338936921e-01
4.537096358751699920e-01
5.774996522745500238e-01
6.793531766588112308e-01
7.436356209399495043e-01
7.933989284560163391e-01
8.590161080592633169e-01
9.038348693197624240e-01
9.344042020263001458e-01
9.555054475739458431e-01
9.733907539339489157e-01
9.855516870093107284e-01
6.776787923902942712e-01
6.137181416990442617e-01
5.061895521114951890e-01
3.465603076513822378e-01
2.114190251117421537e-01
1.008367603432830384e-01
2.199934971893546809e-02
8.258617918525845703e-02
2.715670008647683709e-01
3.834026534275289944e-01
3.834026534275289944e-01
5.002667857966001108e-01
5.499353165242499841e-01
6.310773124146442647e-01
7.105187707630231664e-01
9.048622482662896926e-01
8.191709776892527328e-01
7.207096293375102602e-01
5.805594312873705309e-01
4.337825253246511137e-01
2.589335949721064400e-01
1.273993233780270629e-01
2.949284513417627096e-02
5.495632883807577418e-02
2.059030315815590928e-01
2.801107563172335890e-01
4.242118788543379759e-01
5.962098106902600225e-01
7.458512973791389111e-01
8.406320487666295582e-01
9.115157318902042949e-01
8.598899037515718158e-01
7.259902353705833811e-01
5.928910334789150305e-01
4.861514777982516300e-01
3.857762461879422622e-01
3.084320720392886850e-01
2.252857650785379251e-01
2.161907066977242220e-02
2.732703363371657979e-02
1.241451523334557994e-01
3.642416462145512401e-01
5.226120949912858027e-01
6.128656324473772399e-01
6.094881097024327232e-01
