position.x,position.y,position.z,orientation.x,orientation.y,orientation.z,orientation.w
-8.644208761701571708e-01,1.210712458453333529e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.236972128102260662e-02,9.997497664764966041e-01
-8.644208761701571708e-01,1.210712458453333529e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.236972128102260662e-02,9.997497664764966041e-01
-8.644208761701571708e-01,1.210712458453333529e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.236972128102260662e-02,9.997497664764966041e-01
-8.644208761701571708e-01,1.210712458453333529e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.236972128102260662e-02,9.997497664764966041e-01
-8.644208761701571708e-01,1.210712458453333529e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.236972128102260662e-02,9.997497664764966041e-01
-8.699778347318792848e-01,1.206677446773433138e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.240496510727469498e-02,9.997489772630636651e-01
-8.777392468850960805e-01,1.202844697903878712e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.251192516268894772e-02,9.997465745004928683e-01
-8.777392468850960805e-01,1.202844697903878712e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.251192516268894772e-02,9.997465745004928683e-01
-8.963772066948142436e-01,1.195889413229710430e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.222329531430497149e-02,9.997530320761088829e-01
-9.103790108624090216e-01,1.190210472194894731e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.272970440222043045e-02,9.997416468957306401e-01
-9.103790108624090216e-01,1.190210472194894731e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.272970440222043045e-02,9.997416468957306401e-01
-9.212602280884408801e-01,1.188574445280101144e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.291259182798381644e-02,9.997374721074149262e-01
-9.393312278593360931e-01,1.181813283987944718e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.257921233618883847e-02,9.997450570871941888e-01
-9.393312278593360931e-01,1.181813283987944718e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.257921233618883847e-02,9.997450570871941888e-01
-9.664732124033976746e-01,1.164586440058056338e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.229302560639483469e-02,9.997514796234674428e-01
-9.906477348693619733e-01,1.154844142476385005e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.310785390974253242e-02,9.997329778934402889e-01
-9.906477348693619733e-01,1.154844142476385005e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.310785390974253242e-02,9.997329778934402889e-01
-9.906477348693619733e-01,1.154844142476385005e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.310785390974253242e-02,9.997329778934402889e-01
-1.032969545107526921e+00,1.134635845632869233e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.259029947643348413e-02,9.997448066229526198e-01
-1.046679777322559790e+00,1.126908116388458669e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.275150423344986239e-02,9.997411510261620116e-01
-1.046679777322559790e+00,1.126908116388458669e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.275150423344986239e-02,9.997411510261620116e-01
-1.077557478127936896e+00,1.115754038564396033e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.293136150515969612e-02,9.997370417562408962e-01
-1.077557478127936896e+00,1.115754038564396033e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.293136150515969612e-02,9.997370417562408962e-01
-1.112983857347017658e+00,1.098857048029165395e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.195311098639139355e-02,9.997590014188515450e-01
-1.152585443137528642e+00,1.009497235094644896e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.317590280020012314e-02,9.997314026924409847e-01
-1.152585443137528642e+00,1.009497235094644896e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.317590280020012314e-02,9.997314026924409847e-01
-1.184459085211684970e+00,9.932160383278734739e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.359333275667898494e-02,9.997216385821767748e-01
-1.217852956541868092e+00,9.795712185639623981e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.360454663987401197e-02,9.997213738727035448e-01
-1.217852956541868092e+00,9.795712185639623981e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.360454663987401197e-02,9.997213738727035448e-01
-1.217852956541868092e+00,9.795712185639623981e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.360454663987401197e-02,9.997213738727035448e-01
-1.283779718418454285e+00,9.488266833637029607e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.319440105317369105e-02,9.997309736923151169e-01
-1.300216006387570733e+00,9.415823902969858161e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.315184294803912871e-02,9.997319601613771090e-01
-1.300216006387570733e+00,9.415823902969858161e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.315184294803912871e-02,9.997319601613771090e-01
-1.331345044669444588e+00,9.286762736962475562e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.367734997358594481e-02,9.997196522516841322e-01
-1.354810464779789170e+00,1.061087405193426592e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.373053042807998086e-02,9.997183913110742060e-01
-1.354810464779789170e+00,1.061087405193426592e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.373053042807998086e-02,9.997183913110742060e-01
-1.379345014784937096e+00,1.048939663960878066e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.436227181841055245e-02,9.997031958095591309e-01
-1.379345014784937096e+00,1.048939663960878066e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.436227181841055245e-02,9.997031958095591309e-01
-1.400610036213479903e+00,1.034004877063168237e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.406814252192597536e-02,9.997103203006080241e-01
-1.397310965851740416e+00,1.035032374722808235e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.418962901049507425e-02,9.997073881133091700e-01
-1.397310965851740416e+00,1.035032374722808235e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.418962901049507425e-02,9.997073881133091700e-01
-1.391206856042729534e+00,1.038481701283753833e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.433948883534709645e-02,9.997037507598108830e-01
-1.391206856042729534e+00,1.038481701283753833e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.433948883534709645e-02,9.997037507598108830e-01
-1.395995077068015622e+00,1.015871564765480628e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.476791050500014996e-02,9.996932282501549416e-01
-1.396040093148040562e+00,1.015374435967457689e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.478103614756111198e-02,9.996929029694334723e-01
-1.395053256719137380e+00,1.002043081402620439e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.453841492558637982e-02,9.996988877621799663e-01
-1.393952957323764341e+00,9.307168367517984486e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.489638264073931392e-02,9.996900370271807335e-01
-1.393952957323764341e+00,9.307168367517984486e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.489638264073931392e-02,9.996900370271807335e-01
-1.393566010331724669e+00,7.408701592365676825e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.544312744552353414e-02,9.996762712327380562e-01
-1.392709515213884863e+00,5.148010782695691678e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.452110693894217833e-02,9.996993124507433937e-01
-1.392709515213884863e+00,5.148010782695691678e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.452110693894217833e-02,9.996993124507433937e-01
-1.391632770614031234e+00,3.263155959441693676e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.391188032719904905e-02,9.997140701116583594e-01
-1.391632770614031234e+00,3.263155959441693676e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.391188032719904905e-02,9.997140701116583594e-01
-1.390755632436492029e+00,1.385886448553461103e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.589212264062499907e-02,9.998737122446891279e-01
