position.x,position.y,position.z,orientation.x,orientation.y,orientation.z,orientation.w
-8.735864679977716207e-01,6.055727380855183140e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.687271564249749306e-02,9.993199702003094931e-01
-8.735864679977716207e-01,6.055727380855183140e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.687271564249749306e-02,9.993199702003094931e-01
-8.735864679977716207e-01,6.055727380855183140e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.687271564249749306e-02,9.993199702003094931e-01
-8.735864679977716207e-01,6.055727380855183140e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.687271564249749306e-02,9.993199702003094931e-01
-8.735864679977716207e-01,6.055727380855183140e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.687271564249749306e-02,9.993199702003094931e-01
-8.735864679977716207e-01,6.055727380855183140e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.687271564249749306e-02,9.993199702003094931e-01
-8.735864679977716207e-01,6.055727380855183140e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.687271564249749306e-02,9.993199702003094931e-01
-8.735864679977716207e-01,6.055727380855183140e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.687271564249749306e-02,9.993199702003094931e-01
-8.735864679977716207e-01,6.055727380855183140e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.687271564249749306e-02,9.993199702003094931e-01
-8.735864679977716207e-01,6.055727380855183140e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.687271564249749306e-02,9.993199702003094931e-01
-8.735864679977716207e-01,6.055727380855183140e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.687271564249749306e-02,9.993199702003094931e-01
-8.735864679977716207e-01,6.055727380855183140e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.687271564249749306e-02,9.993199702003094931e-01
-8.735864679977716207e-01,6.055727380855183140e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.687271564249749306e-02,9.993199702003094931e-01
-8.735864679977716207e-01,6.055727380855183140e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.687271564249749306e-02,9.993199702003094931e-01
-8.735864679977716207e-01,6.055727380855180364e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.687271564249749306e-02,9.993199702003094931e-01
-8.735864679977716207e-01,6.055727380855183140e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.687271564249749306e-02,9.993199702003094931e-01
-8.735864679977716207e-01,6.055727380855183140e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.687271564249749306e-02,9.993199702003094931e-01
-8.735864679977716207e-01,6.055727380855183140e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.687271564249749306e-02,9.993199702003094931e-01
-8.735864679977716207e-01,6.055727380855183140e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.687271564249749306e-02,9.993199702003094931e-01
-8.735864679977716207e-01,6.055727380855183140e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.687271564249749306e-02,9.993199702003094931e-01
