Time,position.x,position.y,position.z,orientation.x,orientation.y,orientation.z,orientation.w
1648214164.3568652,-1.3964527831157987,-1.052051498360657,0.0,0.0,0.0,-0.6310110364524779,0.7757738535650512
1648214164.4569058,-1.3888235035775984,-1.0774397681746155,0.0,0.0,0.0,-0.6282797024956748,0.7779875419516346
1648214164.5569742,-1.3860600331494153,-1.093744372129426,0.0,0.0,0.0,-0.6284602526632536,0.7778417003622521
1648214164.6570344,-1.3826794343332247,-1.1096363331513412,0.0,0.0,0.0,-0.6282101335215824,0.7780437186564747
1648214164.756995,-1.379064532618148,-1.1257652441962365,0.0,0.0,0.0,-0.6278702350008605,0.7783180378225628
1648214164.8570018,-1.3757015092739415,-1.1416829992685322,0.0,0.0,0.0,-0.6283412825112105,0.7779378077276919
1648214164.9569721,-1.3696070577152835,-1.174305728968239,0.0,0.0,0.0,-0.6293446112780025,0.7771263476779949
1648214165.0569797,-1.366268995550636,-1.1916643514208123,0.0,0.0,0.0,-0.632179635549997,0.7748218559100363
1648214165.15688,-1.359982128910779,-1.2301825954896835,0.0,0.0,0.0,-0.6353217844410801,0.772247518749398
1648214165.257062,-1.3561111790758815,-1.2545309175658161,0.0,0.0,0.0,-0.6366237563797262,0.77117455404919
1648214165.3569653,-1.350816232211264,-1.2668035692569708,0.0,0.0,0.0,-0.6366311905756263,0.7711684168754972
1648214165.4568815,-1.345411191947138,-1.2951017821819384,0.0,0.0,0.0,-0.6381812800018956,0.7698861304473164
1648214165.5570183,-1.340148587224681,-1.321920276913219,0.0,0.0,0.0,-0.6401558327283753,0.7682450844774996
1648214165.6570506,-1.3312572386773724,-1.3715246742902483,0.0,0.0,0.0,-0.6438525538557462,0.7651495859591333
1648214165.7569768,-1.3273862394468332,-1.3944690762718213,0.0,0.0,0.0,-0.6490156494909713,0.7607750565809928
1648214165.856859,-1.321501618707372,-1.4384758752962574,0.0,0.0,0.0,-0.6646936876289711,0.7471159894060625
1648214165.9570084,-1.3190750841087484,-1.4576892707283622,0.0,0.0,0.0,-0.6721756964915047,0.7403916754300799
1648214166.0569704,-1.3168545482711431,-1.4806224769938308,0.0,0.0,0.0,-0.6767649850885512,0.7361991272462179
1648214166.1569376,-1.31497731243827,-1.5043612230856023,0.0,0.0,0.0,-0.6764531155468158,0.7364856973947332
1648214166.2569685,-1.31497731243827,-1.5043612230856023,0.0,0.0,0.0,-0.6764531155468158,0.7364856973947332
1648214166.3570497,-1.3079888434826978,-1.5704647000695697,0.0,0.0,0.0,-0.6735332813737145,0.7391568973377416
1648214166.457078,-1.3079888434826978,-1.5704647000695697,0.0,0.0,0.0,-0.6735332813737145,0.7391568973377416
1648214166.5569458,-1.3061495588587937,-1.5920173502168318,0.0,0.0,0.0,-0.6718869011397051,0.740653759915444
1648214166.657005,-1.302305704467345,-1.6356634140446569,0.0,0.0,0.0,-0.6722336962301753,0.7403390153522348
1648214166.7569947,-1.302305704467345,-1.6356634140446569,0.0,0.0,0.0,-0.6722336962301753,0.7403390153522348
1648214166.8569891,-1.298790724684914,-1.6978050102403948,0.0,0.0,0.0,-0.6714331434953132,0.7410651346649646
1648214166.9569407,-1.2966639225047576,-1.7193506183381873,0.0,0.0,0.0,-0.6710496200215192,0.7414124408647152
1648214167.0570333,-1.2966639225047576,-1.7193506183381873,0.0,0.0,0.0,-0.6710496200215192,0.7414124408647152
1648214167.1569903,-1.292512721944423,-1.7631840842250803,0.0,0.0,0.0,-0.6711873571659966,0.7412877522126782
1648214167.257086,-1.2882305512448864,-1.8061365681193504,0.0,0.0,0.0,-0.6656922634903348,0.7462263800812154
1648214167.356996,-1.2882305512448864,-1.8061365681193504,0.0,0.0,0.0,-0.6656922634903348,0.7462263800812154
1648214167.4570577,-1.2829610566220253,-1.8498736430761524,0.0,0.0,0.0,-0.6664244447729774,0.7455725715240796
1648214167.5570607,-1.2861931872570256,-1.8789961076343147,0.0,0.0,0.0,-0.6684853520355185,0.7437253082381619
1648214167.6570742,-1.2861931872570256,-1.8789961076343147,0.0,0.0,0.0,-0.6684853520355185,0.7437253082381619
1648214167.7570112,-1.2861931872570256,-1.8789961076343147,0.0,0.0,0.0,-0.6684853520355185,0.7437253082381619
1648214167.8570402,-1.2771604168939814,-1.9647309178361416,0.0,0.0,0.0,-0.6672066488884753,0.7448726654126938
1648214167.9570096,-1.2771604168939814,-1.9647309178361416,0.0,0.0,0.0,-0.6672066488884753,0.7448726654126938
1648214168.0571313,-1.2701492952006868,-2.025442709175319,0.0,0.0,0.0,-0.6670653573496227,0.7449992006868331
1648214168.1569855,-1.2699370647440835,-2.0272328024752007,0.0,0.0,0.0,-0.6670653573496227,0.7449992006868331
1648214168.2571108,-1.2675820238257325,-2.048631022577962,0.0,0.0,0.0,-0.6667039551552637,0.7453226389828288
1648214168.3570166,-1.2766042562789568,-2.0809580641929917,0.0,0.0,0.0,-0.6700982995953199,0.742272368392803
1648214168.456927,-1.2766042562789568,-2.0809580641929917,0.0,0.0,0.0,-0.6700982995953199,0.742272368392803
1648214168.5569332,-1.271845785962167,-2.1228393308721514,0.0,0.0,0.0,-0.6698306578280213,0.7425138987478149
1648214168.6570272,-1.2677891071632186,-2.164655647827538,0.0,0.0,0.0,-0.6694733026759385,0.7428361171915184
1648214168.757028,-1.2677891071632186,-2.164655647827538,0.0,0.0,0.0,-0.6694733026759385,0.7428361171915184
1648214168.8569655,-1.2635143967709113,-2.2073765618776027,0.0,0.0,0.0,-0.6700839558913263,0.7422853171503738
1648214168.957032,-1.2635143967709113,-2.2073765618776027,0.0,0.0,0.0,-0.6700839558913263,0.7422853171503738
1648214169.0570195,-1.2586002803065166,-2.2503677748837925,0.0,0.0,0.0,-0.6695565978110128,0.7427610398558486
1648214169.1570349,-1.26080134355277,-2.3004624609078137,0.0,0.0,0.0,-0.6711911112714684,0.7412843530995183
1648214169.2570548,-1.26080134355277,-2.3004624609078137,0.0,0.0,0.0,-0.6711911112714684,0.7412843530995183
1648214169.3569417,-1.2545276819043967,-2.36306186862156,0.0,0.0,0.0,-0.671469390906342,0.7410322915203265
1648214169.4568932,-1.2525236351527784,-2.382917124638857,0.0,0.0,0.0,-0.6709929083347123,0.7414637664542513
1648214169.556802,-1.2525236351527784,-2.382917124638857,0.0,0.0,0.0,-0.6709929083347123,0.7414637664542513
1648214169.656991,-1.2483985675137461,-2.4217533363535306,0.0,0.0,0.0,-0.6715102475213843,0.7409952681858158
1648214169.7570088,-1.2436997013942417,-2.460627090882182,0.0,0.0,0.0,-0.6706548761126855,0.7417695310177403
1648214169.856992,-1.2436997013942417,-2.460627090882182,0.0,0.0,0.0,-0.6706548761126855,0.7417695310177403
1648214169.95686,-1.249636077060724,-2.491936922104848,0.0,0.0,0.0,-0.6713771777541739,0.7411158379031177
1648214170.0570385,-1.2462565174990945,-2.530729471020502,0.0,0.0,0.0,-0.6715138902442056,0.7409919670341191
1648214170.1570554,-1.2462565174990945,-2.530729471020502,0.0,0.0,0.0,-0.6715138902442056,0.7409919670341191
1648214170.2569654,-1.2462565174990945,-2.530729471020502,0.0,0.0,0.0,-0.6715138902442056,0.7409919670341191
1648214170.3569663,-1.2386997588416937,-2.6110631772574395,0.0,0.0,0.0,-0.6710050324024407,0.7414527945126376
1648214170.4570622,-1.2368041143867752,-2.631501148111414,0.0,0.0,0.0,-0.6709573357573855,0.7414959565590031
1648214170.5569587,-1.2368041143867752,-2.631501148111414,0.0,0.0,0.0,-0.6709573357573855,0.7414959565590031
1648214170.6570258,-1.23269514182291,-2.6709850421149324,0.0,0.0,0.0,-0.6705696564444055,0.741846571641355
1648214170.7570298,-1.23269514182291,-2.6709850421149324,0.0,0.0,0.0,-0.6705696564444055,0.741846571641355
1648214170.8570464,-1.2486776291171342,-2.7060297236626716,0.0,0.0,0.0,-0.672948682077386,0.7396891720785896
1648214170.9570103,-1.2443961341327856,-2.7465295095292874,0.0,0.0,0.0,-0.6724603311855092,0.7401331657086279
1648214171.0569808,-1.2443961341327856,-2.7465295095292874,0.0,0.0,0.0,-0.6724603311855092,0.7401331657086279
1648214171.1570253,-1.2402856881451805,-2.7864897089311738,0.0,0.0,0.0,-0.6729509943526412,0.7396870684281235
1648214171.2569723,-1.2360157235858749,-2.825872927957165,0.0,0.0,0.0,-0.6717321131704618,0.7407941469366142
1648214171.3571022,-1.2360157235858749,-2.825872927957165,0.0,0.0,0.0,-0.6717321131704618,0.7407941469366142
1648214171.4568756,-1.2360157235858749,-2.825872927957165,0.0,0.0,0.0,-0.6717321131704618,0.7407941469366142
1648214171.5570798,-1.227895972888161,-2.9047390947638556,0.0,0.0,0.0,-0.672553016876581,0.7400489439829026
1648214171.657073,-1.227895972888161,-2.9047390947638556,0.0,0.0,0.0,-0.672553016876581,0.7400489439829026
1648214171.7569933,-1.2269419138077142,-2.9618542469968268,0.0,0.0,0.0,-0.6733976130682271,0.7392804979938361
1648214171.856832,-1.2267891477533677,-2.963301513472631,0.0,0.0,0.0,-0.6733976130682271,0.7392804979938361
1648214171.95696,-1.224562819149492,-2.9831871162898156,0.0,0.0,0.0,-0.67305837533989,0.7395893613248015
1648214172.0570803,-1.2205893295557813,-3.0236417720640505,0.0,0.0,0.0,-0.6729030470401065,0.7397306869963826
1648214172.1569822,-1.2205893295557813,-3.0236417720640505,0.0,0.0,0.0,-0.6729030470401065,0.7397306869963826
1648214172.2570148,-1.2163201175868639,-3.064001401389647,0.0,0.0,0.0,-0.6721418925467917,0.7404223634410411
1648214172.3570056,-1.2123625317739892,-3.1045110472332196,0.0,0.0,0.0,-0.6727689016284487,0.7398526914201574
1648214172.456952,-1.2123625317739892,-3.1045110472332196,0.0,0.0,0.0,-0.6727689016284487,0.7398526914201574
1648214172.556998,-1.2123625317739892,-3.1045110472332196,0.0,0.0,0.0,-0.6727689016284487,0.7398526914201574
1648214172.6571178,-1.2049222791865069,-3.19024659391454,0.0,0.0,0.0,-0.6734196942789998,0.7392603840036192
1648214172.7569697,-1.2049222791865069,-3.19024659391454,0.0,0.0,0.0,-0.6734196942789998,0.7392603840036192
1648214172.857,-1.1998191215265843,-3.249678148458535,0.0,0.0,0.0,-0.6723176693845122,0.740262758372578
1648214172.9570007,-1.199707754737643,-3.251564985828016,0.0,0.0,0.0,-0.6723447436543993,0.7402381682136501
1648214173.0570452,-1.1981687411732393,-3.271408003497549,0.0,0.0,0.0,-0.6726608491269498,0.7399509321920008
1648214173.1569505,-1.1938615833391284,-3.3120890525089006,0.0,0.0,0.0,-0.6725446598724497,0.7400565387029905
1648214173.2569923,-1.1938615833391284,-3.3120890525089006,0.0,0.0,0.0,-0.6725446598724497,0.7400565387029905
1648214173.357046,-1.196828010316167,-3.3508344802512124,0.0,0.0,0.0,-0.6731371332952957,0.7395176805046593
1648214173.4570372,-1.1923855505517675,-3.392402263775834,0.0,0.0,0.0,-0.6725306132798279,0.7400693036476101
