Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1648214153.9586537,7006,1648214153,958387810,fufi_imu_link,-0.0037988273016238967,-0.007514521928523669,0.0036354905040092557,0.9999579411555836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025502361357212067,-0.007958462461829185,0.004258802160620689,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.17278671264648438,-0.280295193195343,9.71112060546875,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214153.9589396,7007,1648214153,958786525,fufi_imu_link,-0.0038496688730433985,-0.0075189733744599275,0.003635319048726966,0.9999577138781299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008701875805854797,-0.0017821905203163624,-0.0028321444988250732,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.15744727849960327,-0.2727133631706238,9.502224922180176,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214154.0251327,7008,1648214154,24304353,fufi_imu_link,-0.0035544775108042343,-0.007936725798972494,0.003211923448725934,0.9999570278871871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009936313144862652,-0.008720912039279938,-0.013027383014559746,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.659412145614624,-0.20378504693508148,9.652398109436035,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214154.0338619,7009,1648214154,33639064,fufi_imu_link,-0.003565697814336319,-0.008054539101336767,0.0031486087179878716,0.9999562472739009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00476201344281435,0.0076571679674088955,-0.013516880571842194,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.7415221929550171,-0.20037683844566345,9.595979690551758,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214154.0695682,7010,1648214154,69339921,fufi_imu_link,-0.00333512551736467,-0.007813858950869716,0.0026181490401423137,0.9999604821400109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015047050081193447,0.02233373001217842,-0.029748186469078064,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.7884277701377869,-0.2344588339328766,10.080923080444336,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214154.0992472,7011,1648214154,98966364,fufi_imu_link,-0.0030784880584203505,-0.007820826469828566,0.0023009701850389428,0.9999620308395768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016377758234739304,0.007337873801589012,-0.02148588001728058,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.581743061542511,-0.01494824793189764,9.446158409118652,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214154.1173077,7012,1648214154,116959479,fufi_imu_link,-0.002892678986140712,-0.007889581195662654,0.0021755549095145376,0.9999623262291815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0197062436491251,0.003990793600678444,-0.014042188413441181,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.5570769309997559,-0.027851969003677368,9.687931060791016,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214154.1546922,7013,1648214154,154431868,fufi_imu_link,-0.0029708829692281164,-0.007702534200180794,0.0023086295453917396,0.9999632568504208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006113431882113218,0.01298745721578598,0.0072132013738155365,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.354756236076355,0.08495157212018967,9.36003589630127,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214154.1635036,7014,1648214154,163203753,fufi_imu_link,-0.0029795945761611894,-0.007680315061551506,0.00235068510327208,0.9999633038548277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028851982206106186,0.009664932265877724,0.00957280583679676,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.22677341103553772,-0.1389833390712738,9.682219505310059,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214154.174122,7015,1648214154,173807272,fufi_imu_link,-0.0030006843016069074,-0.007634578811548921,0.0024283345890718584,0.9999634054760284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00665453402325511,0.004889211151748896,0.014722367748618126,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.07160137593746185,-0.0010481765493750572,9.62154769897461,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
