Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1648214153.7825778,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.782583,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.782586,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7826667,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7826703,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.782718,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7827613,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7827945,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7828162,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7828496,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7829125,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7829287,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7829564,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.782968,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7829983,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7830157,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7830179,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7830606,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7830784,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7830803,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.783143,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7832077,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.78321,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7832122,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7834003,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7834492,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7834847,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.784094,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.784154,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7842207,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7842596,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7843034,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7843156,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7850811,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1648214153.7851195,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
