Time,position.x,position.y,position.z,orientation.x,orientation.y,orientation.z,orientation.w
1648214230.057053,-0.8736434190000895,0.06058873274811585,0.0,0.0,0.0,0.03687271564249749,0.9993199702003095
1648214230.1570528,-0.8758481594001155,0.060886468830967266,0.0,0.0,0.0,0.036816693781901916,0.9993220357116968
1648214230.2570057,-0.8930733608488229,0.05908627536638536,0.0,0.0,0.0,0.03662134673348082,0.9993292135044518
1648214230.3570442,-0.9108118682230615,0.05746727720722472,0.0,0.0,0.0,0.03678001966787577,0.9993233861734802
1648214230.4570735,-0.9559552033644589,0.053826763465037286,0.0,0.0,0.0,0.036584859219490506,0.9993305499562645
1648214230.5568178,-0.9559552033644589,0.053826763465037286,0.0,0.0,0.0,0.036584859219490506,0.9993305499562645
1648214230.6570396,-0.9780982494801393,0.0522433346533277,0.0,0.0,0.0,0.036253955095219816,0.9993426092887032
1648214230.7569902,-1.018773030266603,0.049043291824791474,0.0,0.0,0.0,0.03701114280588101,0.9993148529408551
1648214230.857056,-1.0381286475656615,0.04730114537882574,0.0,0.0,0.0,0.036748740117764196,0.9993245369246955
1648214230.9570045,-1.0776558899085826,0.04506646378119855,0.0,0.0,0.0,0.0351492515295352,0.9993820741422739
1648214231.0569658,-1.09851565384503,0.044068886222612486,0.0,0.0,0.0,0.035646855943815885,0.9993644488680398
1648214231.1568935,-1.137322197563401,0.03128886844234499,0.0,0.0,0.0,0.0336292268079176,0.9994343775877942
1648214231.2570252,-1.137322197563401,0.03128886844234499,0.0,0.0,0.0,0.0336292268079176,0.9994343775877942
1648214231.3569827,-1.158421983848927,0.02988794559358271,0.0,0.0,0.0,0.03357792574662509,0.9994361024610598
1648214231.456957,-1.1994996269851241,0.025833621602461915,0.0,0.0,0.0,0.033260161597298755,0.9994467277701806
1648214231.5570862,-1.2200280776027514,0.024078779040025394,0.0,0.0,0.0,0.03345226035523208,0.9994403165157616
1648214231.6570156,-1.2612194056250505,0.022061404337893775,0.0,0.0,0.0,0.0336048600613662,0.9994351971890204
1648214231.756844,-1.2818301374158545,0.021052064556144834,0.0,0.0,0.0,0.0335613899300788,0.9994366578758062
1648214231.8570032,-1.3183085225457578,0.019097298966969378,0.0,0.0,0.0,0.032660020732562224,0.9994665192220041
1648214231.956896,-1.3183085225457578,0.019097298966969378,0.0,0.0,0.0,0.032660020732562224,0.9994665192220041
1648214232.0568035,-1.38157944495495,0.016693201308627004,0.0,0.0,0.0,0.03267391750639708,0.999466065014108
1648214232.1571863,-1.38157944495495,0.016693201308627004,0.0,0.0,0.0,0.03267391750639708,0.999466065014108
1648214232.256906,-1.402544008226211,0.015712562815167613,0.0,0.0,0.0,0.032245730166326154,0.9994799712280584
1648214232.3568552,-1.4327198603415914,0.01406437506625069,0.0,0.0,0.0,0.03191449321158964,0.9994906028187795
1648214232.456989,-1.4327198603415914,0.01406437506625069,0.0,0.0,0.0,0.03191449321158964,0.9994906028187795
1648214232.5569868,-1.4173903604480733,0.015139900598959033,0.0,0.0,0.0,0.03186906993485444,0.9994920521852524
1648214232.6570463,-1.4173903604480733,0.015139900598959033,0.0,0.0,0.0,0.03186906993485444,0.9994920521852524
1648214232.756979,-1.4217710423066228,0.015239833519114843,0.0,0.0,0.0,0.031999744477301265,0.9994878770417315
1648214232.8569987,-1.4217907869480033,0.015242419528221418,0.0,0.0,0.0,0.0319965417728601,0.9994879795748309
1648214232.9567904,-1.4233549680124538,0.015335453748684363,0.0,0.0,0.0,0.03184669986144292,0.9994927652104016
1648214233.0570514,-1.4218452747061296,0.015223966392708788,0.0,0.0,0.0,0.0320701312536694,0.999485621047833
1648214233.1570005,-1.4218452747061296,0.015223966392708788,0.0,0.0,0.0,0.0320701312536694,0.999485621047833
1648214233.257028,-1.4209889049359399,0.015268679708608124,0.0,0.0,0.0,0.03184114691544681,0.9994929421277116
1648214233.3569503,-1.4209889049359399,0.015268679708608124,0.0,0.0,0.0,0.03184114691544681,0.9994929421277116
1648214233.4568658,-1.421186019092996,0.015316641110906082,0.0,0.0,0.0,0.031774860097179135,0.9994950516464824
1648214233.5568779,-1.421186019092996,0.015316641110906082,0.0,0.0,0.0,0.031774860097179135,0.9994950516464824
1648214233.6570668,-1.421186019092996,0.015316641110906082,0.0,0.0,0.0,0.031774860097179135,0.9994950516464824
