Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1648214227.9301636,9933,1648214227,929864089,fufi_imu_link,-0.0037255662069563705,-0.01005783815663475,0.007607137794144834,0.9999135420138251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00031574140302836895,-0.00014755921438336372,9.99346375465393e-05,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.18004964292049408,-0.08331489562988281,9.610361099243164,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214227.9497533,9934,1648214227,949388727,fufi_imu_link,-0.0037238140162065966,-0.010066915095738968,0.007608046087611212,0.9999134502867519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000601225474383682,-0.0006769667379558086,8.118152618408203e-05,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.20286905765533447,-0.08921227604150772,9.628528594970703,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214227.9675577,9935,1648214227,967317234,fufi_imu_link,-0.003725879164858555,-0.010067456965681777,0.00761206707685391,0.9999134065355413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003096024738624692,-0.00012778164818882942,0.00045181065797805786,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.1898803859949112,-0.06994795054197311,9.570295333862305,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214228.0058506,9936,1648214228,5137781,fufi_imu_link,-0.0037132334163754127,-0.010094880722973326,0.007592414083700372,0.9999133265084361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007902373326942325,-0.0017772223800420761,-0.0010566413402557373,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.17039631307125092,-0.0834348276257515,9.636396408081055,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214228.0137951,9937,1648214228,13242721,fufi_imu_link,-0.003718164012470498,-0.010098311809535446,0.007592069419600348,0.9999132761579385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015333490446209908,0.0008933208882808685,-5.6451186537742615e-05,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.22064143419265747,-0.06821992993354797,9.62004280090332,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214228.043723,9938,1648214228,42241911,fufi_imu_link,-0.0037015722734735153,-0.010126418380793633,0.0075756168686038185,0.9999131782522629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001157025690190494,-0.0014355122111737728,-0.001150248572230339,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.22288459539413452,-0.07500255852937698,9.636685371398926,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214228.0705438,9939,1648214228,69903779,fufi_imu_link,-0.00367761392509257,-0.01014410641008903,0.0075795616640806345,0.9999130574734683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018830812769010663,-0.0011404957622289658,0.000260939821600914,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.2034708559513092,-0.080897755920887,9.654388427734375,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214228.0879614,9940,1648214228,87561070,fufi_imu_link,-0.0036884923052759137,-0.010154941938440316,0.007582786904037913,0.9999128829660656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000522357935551554,-0.0005950853228569031,0.0003636311739683151,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.2157212793827057,-0.09653469175100327,9.60818099975586,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214228.1172302,9941,1648214228,116869001,fufi_imu_link,-0.0036746316517709135,-0.0101609501248223,0.007583557236453967,0.9999128671211438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00138416129630059,8.890591561794281e-05,3.6325305700302124e-05,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.22433899343013763,-0.09735123068094254,9.660058975219727,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214228.1544976,9942,1648214228,154077964,fufi_imu_link,-0.003688683185428503,-0.010165285735985642,0.007593272664443117,0.9999126975853977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005445857532322407,-0.0001105298288166523,0.0005257446318864822,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.20354318618774414,-0.08723089098930359,9.620414733886719,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
