Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1648214345.3204558,14583,1648214345,319495227,fufi_imu_link,-0.0034247234956063027,-0.010617133114925986,0.014573847587024175,0.9998315611741355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015989624080248177,0.00023353612050414085,0.0007121246308088303,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.1988428682088852,-0.0936901643872261,9.667461395263672,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214345.338445,14584,1648214345,338106755,fufi_imu_link,-0.0034439227460238723,-0.010614350897137215,0.014578584070837215,0.9998314557152327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013305161846801639,-6.012618541717529e-06,0.0005143303424119949,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.191013902425766,-0.09481299668550491,9.600868225097656,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214345.4050028,14585,1648214345,404614629,fufi_imu_link,-0.0034484716383404415,-0.0106193644693238,0.014602560774790775,0.9998310369059593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.120349280536175e-05,-0.00014671450480818748,0.0007179770618677139,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.20458698272705078,-0.09415877610445023,9.649784088134766,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214345.4130929,14586,1648214345,412763771,fufi_imu_link,-0.0034430622409073277,-0.010616465115825006,0.014602167307758495,0.9998310920854412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004946669796481729,-0.0004892158322036266,-9.91038978099823e-05,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.18438446521759033,-0.055943913757801056,9.594982147216797,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214345.4514723,14587,1648214345,450860970,fufi_imu_link,-0.003428424515071221,-0.010637417263525907,0.014632325221410811,0.9998304787902402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007719595450907946,-0.001240819226950407,0.0015705116093158722,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.19529682397842407,-0.0694086030125618,9.651345252990723,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214345.4795682,14588,1648214345,479229361,fufi_imu_link,-0.0034248171640620956,-0.010615303950440264,0.014636266250145098,0.9998306684932641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011733814608305693,0.000861690379679203,0.0002787243574857712,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.1658915877342224,-0.06012827530503273,9.633162498474121,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214345.4879837,14589,1648214345,487645273,fufi_imu_link,-0.0034353944669589646,-0.010621931920496512,0.014638388583770775,0.9998305307434873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011006440035998821,5.325768142938614e-05,0.0005072355270385742,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.22873403131961823,-0.09200581908226013,9.604607582092285,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214345.5065036,14590,1648214345,506256120,fufi_imu_link,-0.0034457203391491708,-0.010629458399434927,0.014627706696625683,0.9998305715581398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009555334108881652,-0.000596068799495697,-0.0011411625891923904,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.2103816568851471,-0.0756247341632843,9.618463516235352,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214345.5353723,14591,1648214345,534593242,fufi_imu_link,-0.003438620033189232,-0.010627893552134999,0.014627665758808044,0.9998306132367424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007547977147623897,8.574966341257095e-05,-1.3338401913642883e-05,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.20335134863853455,-0.08315535634756088,9.656373977661133,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1648214345.5363712,14592,1648214345,535502460,fufi_imu_link,-0.003435549624146481,-0.010633845261520763,0.014627950776962394,0.9998305563393234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004694691451732069,0.000298365019261837,0.0007577408105134964,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.22676926851272583,-0.05675124377012253,9.604364395141602,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
